"onset","onset_low","onset_high","rowname","year","id_cells","offset","offset_low","offset_high","duration","scientificName","Order"
134.8,109,152,2017.744,2017,744,250.8,213.4,276,116,"Bombus fervidus","Hymenoptera"
56.35,28,91,2018.744,2018,744,231.1,193.55,241,174.75,"Bombus fervidus","Hymenoptera"
141.5,130,160.5,2018.775,2018,775,235,223,244,93.5,"Bombus fervidus","Hymenoptera"
187,186,188.5,2015.797,2015,797,224,221,225,37,"Bombus fervidus","Hymenoptera"
138.5,119,147.5,2019.815,2019,815,260.5,243,263,122,"Bombus fervidus","Hymenoptera"
160,152,169.5,2018.82,2018,820,260,245.5,266,100,"Bombus fervidus","Hymenoptera"
143.5,127,165.5,2018.826,2018,826,286.75,262,295,143.25,"Bombus fervidus","Hymenoptera"
153.5,149,168,2019.826,2019,826,257.5,242,265,104,"Bombus fervidus","Hymenoptera"
135.1,133,138.2,2018.92,2018,920,205.85,198.95,217,70.75,"Bombus fervidus","Hymenoptera"
133.95,129,140,2019.92,2019,920,268.3,206.05,298,134.35,"Bombus fervidus","Hymenoptera"
137.4,123,155,2015.937,2015,937,227.05,210.3,232,89.65,"Bombus fervidus","Hymenoptera"
169.3,154,188,2017.937,2017,937,223.55,209.75,224,54.25,"Bombus fervidus","Hymenoptera"
148.5,143,153,2018.937,2018,937,252.9,225.65,254,104.4,"Bombus fervidus","Hymenoptera"
166.4,156,172,2019.937,2019,937,232.75,220,236,66.35,"Bombus fervidus","Hymenoptera"
149.4,134,156,2018.1044,2018,1044,224.9,217.1,227,75.5,"Bombus fervidus","Hymenoptera"
136.65,129,146,2017.1089,2017,1089,208.95,182.75,222,72.3,"Bombus fervidus","Hymenoptera"
143,140,145,2018.1089,2018,1089,198,177.8,201,55,"Bombus fervidus","Hymenoptera"
135.9,132,141.1,2018.118,2018,1180,213.6,194,224,77.7,"Bombus fervidus","Hymenoptera"
146.85,141,150,2018.1089,2018,1089,198.2,180.1,206,51.35,"Bombus flavifrons","Hymenoptera"
182,175,185,2018.1135,2018,1135,230.9,224,233,48.9,"Bombus flavifrons","Hymenoptera"
121.45,94,155,2017.118,2017,1180,226.85,219.4,230,105.4,"Bombus flavifrons","Hymenoptera"
148.9,144,151,2018.118,2018,1180,226.1,198,231,77.2,"Bombus flavifrons","Hymenoptera"
176,142,182,2018.1181,2018,1181,232.5,221,241,56.5,"Bombus flavifrons","Hymenoptera"
189,180,198,2018.1185,2018,1185,258,233,260,69,"Bombus flavifrons","Hymenoptera"
105.4,90,135.8,2018.1227,2018,1227,239.6,223.6,241,134.2,"Bombus flavifrons","Hymenoptera"
94.9,94,102.3,2019.1227,2019,1227,162.55,153,163,67.65,"Bombus flavifrons","Hymenoptera"
172.55,164,183,2018.1228,2018,1228,220.4,210.1,224,47.85,"Bombus flavifrons","Hymenoptera"
193.5,191,196,2016.2208,2016,2208,229,215.5,241,35.5,"Bombus flavifrons","Hymenoptera"
162.2,155,164,2017.2208,2017,2208,213.6,209,224,51.4,"Bombus flavifrons","Hymenoptera"
156.6,156,158.2,2018.2208,2018,2208,208.8,198.4,222,52.2,"Bombus flavifrons","Hymenoptera"
118.35,65,162,2019.53,2019,530,198.4,183.45,205,80.05,"Bombus griseocollis","Hymenoptera"
123.8,51,142,2017.533,2017,533,219,199,259,95.2,"Bombus griseocollis","Hymenoptera"
116.6,111,126.8,2018.533,2018,533,201.6,194,204,85,"Bombus griseocollis","Hymenoptera"
115.5,111,129,2018.534,2018,534,199.5,185,205,84,"Bombus griseocollis","Hymenoptera"
107.5,97,118,2019.577,2019,577,219,185,223,111.5,"Bombus griseocollis","Hymenoptera"
166.65,159,172.1,2019.652,2019,652,218.95,208.45,254,52.3,"Bombus griseocollis","Hymenoptera"
156.75,154,162.15,2019.695,2019,695,248.25,202.1,256,91.4999999999999,"Bombus griseocollis","Hymenoptera"
151.7,127,156.45,2017.697,2017,697,209.2,195.55,213,57.5,"Bombus griseocollis","Hymenoptera"
163.25,161,165.25,2018.697,2018,697,214.5,204.5,218,51.25,"Bombus griseocollis","Hymenoptera"
147.15,136,152.9,2019.697,2019,697,219.65,203.4,235,72.5,"Bombus griseocollis","Hymenoptera"
178.6,169,181,2018.701,2018,701,239.4,229.2,241,60.8,"Bombus griseocollis","Hymenoptera"
101.1,99,125.1,2019.703,2019,703,182.3,170.9,190,81.2,"Bombus griseocollis","Hymenoptera"
134,132,146,2019.721,2019,721,256,235,257,122,"Bombus griseocollis","Hymenoptera"
157,143,171,2019.735,2019,735,255,242.5,260,98,"Bombus griseocollis","Hymenoptera"
